actual_profit,ask,bid,closed,closer,date,deal,ecc,etf,expected_profit,first_ema,name,order,price,rsi_length,second_ema,sma_length,symbol,tcc,time,trend,ttf,volume,win
0,2320.304,2320.152,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981141270,2880,M15,12.0,8,Momentum,5084006654,2320.304,9,16,15,Volatility 25 Index,720,00:00:08.300596,2,H4,0.5,False
0,263.8513,263.8163,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981150278,2880,M15,12.0,8,Momentum,5084015732,263.8513,9,16,15,Volatility 50 Index,720,00:30:02.214834,2,H4,4.0,False
0,1455.25,1454.8,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981167297,2880,M15,12.0,8,Momentum,5084032906,1454.8,9,16,15,Volatility 100 (1s) Index,720,01:30:01.258253,2,H4,0.2,False
0,9669.97,9669.71,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981221670,2880,M15,12.0,8,Momentum,5084087999,9669.97,9,16,15,Volatility 10 (1s) Index,720,04:30:03.183496,2,H4,0.5,False
0,183842.94,183820.63,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981237258,2880,M15,12.0,8,Momentum,5084103777,183842.94,9,16,15,Volatility 50 (1s) Index,720,05:15:02.271668,2,H4,0.005,False
0,545299.27,545262.86,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981294173,2880,M15,12.0,8,Momentum,5084161075,545299.27,9,16,15,Volatility 25 (1s) Index,720,07:30:02.242487,2,H4,0.005,False
0,235304.25,235253.92,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981308249,2880,M15,12.0,8,Momentum,5084175155,235304.25,9,16,15,Volatility 75 Index,720,08:00:08.284820,2,H4,0.001,False
0,9681.0,9680.74,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981363541,2880,M15,12.0,8,Momentum,5084230882,9681.0,9,16,15,Volatility 10 (1s) Index,720,09:45:01.794689,2,H4,0.5,False
0,8463.56,8462.15,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981409342,2880,M15,12.0,8,Momentum,5084276878,8463.56,9,16,15,Volatility 75 (1s) Index,720,11:15:01.470718,2,H4,0.05,False
0,1490.37,1489.92,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981467792,2880,M15,12.0,8,Momentum,5084335626,1489.92,9,16,15,Volatility 100 (1s) Index,720,13:00:06.280766,2,H4,0.2,False
0,548893.88,548857.47,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981580618,2880,M15,12.0,8,Momentum,5084448786,548893.88,9,16,15,Volatility 25 (1s) Index,720,16:00:02.877529,2,H4,0.005,False
0,186318.96,186296.65,False,<function ema_closer at 0x0000015432A82520>,2024-04-03,1981580691,2880,M15,12.0,8,Momentum,5084448849,186318.96,9,16,15,Volatility 50 (1s) Index,720,16:00:06.252340,2,H4,0.005,False
0,547161.21,547124.8,False,<function ema_closer at 0x000001E6D0D32520>,2024-04-04,1981817301,2880,M15,12.0,8,Momentum,5084686992,547161.21,9,16,15,Volatility 25 (1s) Index,720,00:15:01.501942,2,H4,0.005,False
0,261.1388,261.1038,False,<function ema_closer at 0x000001E6D0D32520>,2024-04-04,1981839256,2880,M15,12.0,8,Momentum,5084708990,261.1038,9,16,15,Volatility 50 Index,720,01:30:02.419369,2,H4,4.0,False
0,1448.68,1448.23,False,<function ema_closer at 0x000001E6D0D32520>,2024-04-04,1981858187,2880,M15,12.0,8,Momentum,5084728071,1448.23,9,16,15,Volatility 100 (1s) Index,720,02:45:01.382120,2,H4,0.2,False
0,2272.736,2272.584,False,<function ema_closer at 0x000001E6D0D32520>,2024-04-04,1981870715,2880,M15,12.0,8,Momentum,5084741107,2272.584,9,16,15,Volatility 25 Index,720,03:30:02.518048,2,H4,0.5,False
0,547633.91,547597.5,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1981933919,2880,M15,12.0,8,Momentum,5084806696,547633.91,9,16,15,Volatility 25 (1s) Index,720,06:30:01.412765,2,H4,0.005,False
0,191464.34,191442.03,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1981974043,2880,M15,12.0,8,Momentum,5084846787,191464.34,9,16,15,Volatility 50 (1s) Index,720,08:00:03.915574,2,H4,0.005,False
0,233819.3,233768.97,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1981980514,2880,M15,12.0,8,Momentum,5084853312,233819.3,9,16,15,Volatility 75 Index,720,08:15:04.215591,2,H4,0.001,False
0,2280.806,2280.654,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1982014618,2880,M15,12.0,8,Momentum,5084888358,2280.654,9,16,15,Volatility 25 Index,720,09:30:02.235904,2,H4,0.5,False
0,260.6491,260.6141,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1982073898,2880,M15,12.0,8,Momentum,5084948449,260.6491,9,16,15,Volatility 50 Index,720,11:30:02.464277,2,H4,4.0,False
0,188649.04,188626.73,False,<function ema_closer at 0x000001C236412520>,2024-04-04,1982098374,2880,M15,12.0,8,Momentum,5084973483,188649.04,9,16,15,Volatility 50 (1s) Index,720,12:15:01.754893,2,H4,0.005,False
