actual_profit,ask,bid,closed,closer,date,deal,ecc,etf,expected_profit,first_ema,name,order,price,rsi_length,second_ema,sma_length,symbol,tcc,time,trend,ttf,volume,win
0,263.8513,263.8163,False,<function ema_closer at 0x0000017D4E9E2520>,2024-04-03,3758232749,2880,M15,12.0,8,Momentum,3843321064,263.8513,9,16,15,Volatility 50 Index,720,00:30:02.448391,2,H4,4.0,False
0,9670.62,9670.36,False,<function ema_closer at 0x0000017D4E9E2520>,2024-04-03,3758393642,2880,M15,12.0,8,Momentum,3843488485,9670.62,9,16,15,Volatility 10 (1s) Index,720,04:30:01.699735,2,H4,0.5,False
0,183841.94,183819.63,False,<function ema_closer at 0x0000017D4E9E2520>,2024-04-03,3758426902,2880,M15,12.0,8,Momentum,3843524300,183841.94,9,16,15,Volatility 50 (1s) Index,720,05:15:01.443502,2,H4,0.005,False
0,6622.282,6622.108,False,<function ema_closer at 0x0000017D4E9E2520>,2024-04-03,3758437631,2880,M15,12.0,8,Momentum,3843535961,6622.282,9,16,15,Volatility 10 Index,720,05:30:02.307426,2,H4,0.5,False
0,545299.27,545262.86,False,<function ema_closer at 0x0000017D4E9E2520>,2024-04-03,3758551464,2880,M15,12.0,8,Momentum,3843654507,545299.27,9,16,15,Volatility 25 (1s) Index,720,07:30:02.286951,2,H4,0.005,False
0,8711.24,8709.83,False,<function ema_closer at 0x0000017D4E9E2520>,2024-04-03,3758567619,2880,M15,12.0,8,Momentum,3843671376,8711.24,9,16,15,Volatility 75 (1s) Index,720,07:45:02.321118,2,H4,0.05,False
0,235281.17,235230.84,False,<function ema_closer at 0x0000017D4E9E2520>,2024-04-03,3758584060,2880,M15,12.0,8,Momentum,3843688340,235281.17,9,16,15,Volatility 75 Index,720,08:00:04.440571,2,H4,0.001,False
0,9681.0,9680.74,False,<function ema_closer at 0x0000017D4E9E2520>,2024-04-03,3758704906,2880,M15,12.0,8,Momentum,3843814606,9681.0,9,16,15,Volatility 10 (1s) Index,720,09:45:01.401726,2,H4,0.5,False
0,1489.23,1488.78,False,<function ema_closer at 0x0000017D4E9E2520>,2024-04-03,3758931531,2880,M15,12.0,8,Momentum,3844046860,1488.78,9,16,15,Volatility 100 (1s) Index,720,13:00:01.327675,2,H4,0.2,False
0,232312.27,232261.94,False,<function ema_closer at 0x0000017D4E9E2520>,2024-04-03,3759071232,2880,M15,12.0,8,Momentum,3844191040,232312.27,9,16,15,Volatility 75 Index,720,14:45:02.516372,2,H4,0.001,False
0,186260.09,186237.78,False,<function ema_closer at 0x0000017D4E9E2520>,2024-04-03,3759165321,2880,M15,12.0,8,Momentum,3844290215,186260.09,9,16,15,Volatility 50 (1s) Index,720,16:00:03.361720,2,H4,0.005,False
