actual_profit,ask,bid,closed,date,deal,ecc,entry_ema,etf,expected_profit,fast_ema,name,order,price,rr,slow_ema,symbol,tcc,time,trend,ttf,volume,win
-7.61,0,0,TRUE,24/01/2024,0,600,5,M1,19.01,8,FingerTrap,1168090003,0,2.5,20,USDCAD-T,50,55:00.6,3,M5,0.16,FALSE
11.4,0,0,TRUE,24/01/2024,0,600,5,M1,11.41,8,FingerTrap,1168090004,0,1.5,20,USDCAD-T,50,01:55:01,3,M5,0.16,TRUE
-7.61,0,0,TRUE,24/01/2024,0,600,5,M1,15.21,8,FingerTrap,1168090005,0,2,20,USDCAD-T,50,55:01.0,3,M5,0.16,FALSE
-7.6,0,0,TRUE,24/01/2024,0,600,5,M1,19,8,FingerTrap,1168090007,0,2.5,20,AUDUSD-T,50,55:01.0,3,M5,0.19,FALSE
11.4,0,0,TRUE,24/01/2024,0,600,5,M1,11.4,8,FingerTrap,1168090008,0,1.5,20,AUDUSD-T,50,01:55:01,3,M5,0.19,TRUE
15.2,0,0,TRUE,24/01/2024,0,600,5,M1,15.2,8,FingerTrap,1168090010,0,2,20,AUDUSD-T,50,01:55:01,3,M5,0.19,TRUE
-8.27,0,0,TRUE,24/01/2024,0,600,5,M1,18.91,8,FingerTrap,1168090111,0,2.5,20,USDJPY-T,50,02:00.5,3,M5,0.35,FALSE
-8.27,0,0,TRUE,24/01/2024,0,600,5,M1,11.35,8,FingerTrap,1168090112,0,1.5,20,USDJPY-T,50,02:00.6,3,M5,0.35,FALSE
-8.27,0,0,TRUE,24/01/2024,0,600,5,M1,15.13,8,FingerTrap,1168090113,0,2,20,USDJPY-T,50,02:00.7,3,M5,0.35,FALSE
-7.56,0,0,TRUE,24/01/2024,0,600,5,M1,18,8,FingerTrap,1168090119,0,2.5,20,AUDUSD-T,50,03:00.4,3,M5,0.18,FALSE
10.98,0,0,TRUE,24/01/2024,0,600,5,M1,10.8,8,FingerTrap,1168090120,0,1.5,20,AUDUSD-T,50,02:03:00,3,M5,0.18,TRUE
14.58,0,0,TRUE,24/01/2024,0,600,5,M1,14.4,8,FingerTrap,1168090121,0,2,20,AUDUSD-T,50,02:03:01,3,M5,0.18,TRUE
-7.2,0,0,TRUE,24/01/2024,0,600,5,M1,18,8,FingerTrap,1168090214,0,2.5,20,GBPUSD-T,50,07:00.4,3,M5,0.18,FALSE
-7.2,0,0,TRUE,24/01/2024,0,600,5,M1,18,8,FingerTrap,1168090213,0,2.5,20,AUDUSD-T,50,07:00.4,3,M5,0.18,FALSE
-7.2,0,0,TRUE,24/01/2024,0,600,5,M1,10.8,8,FingerTrap,1168090215,0,1.5,20,GBPUSD-T,50,07:00.5,3,M5,0.18,FALSE
-7.2,0,0,TRUE,24/01/2024,0,600,5,M1,14.4,8,FingerTrap,1168090217,0,2,20,GBPUSD-T,50,07:00.6,3,M5,0.18,FALSE
11.34,0,0,TRUE,24/01/2024,0,600,5,M1,10.8,8,FingerTrap,1168090216,0,1.5,20,AUDUSD-T,50,02:07:01,3,M5,0.18,TRUE
14.4,0,0,TRUE,24/01/2024,0,600,5,M1,14.4,8,FingerTrap,1168090218,0,2,20,AUDUSD-T,50,02:07:01,3,M5,0.18,TRUE
-7.35,0,0,TRUE,24/01/2024,0,600,5,M1,18.37,8,FingerTrap,1168090233,0,2.5,20,USDJPY-T,50,10:00.6,3,M5,0.34,FALSE
-7.12,0,0,TRUE,24/01/2024,0,600,5,M1,11.02,8,FingerTrap,1168090234,0,1.5,20,USDJPY-T,50,10:00.6,3,M5,0.34,FALSE
-7.12,0,0,TRUE,24/01/2024,0,600,5,M1,14.7,8,FingerTrap,1168090235,0,2,20,USDJPY-T,50,10:00.8,3,M5,0.34,FALSE
-7.6,0,0,TRUE,24/01/2024,0,600,5,M1,19,8,FingerTrap,1168090487,0,2.5,20,GBPUSD-T,50,19:00.3,3,M5,0.19,FALSE
-7.6,0,0,TRUE,24/01/2024,0,600,5,M1,11.4,8,FingerTrap,1168090489,0,1.5,20,GBPUSD-T,50,19:00.4,3,M5,0.19,FALSE
-7.6,0,0,TRUE,24/01/2024,0,600,5,M1,15.2,8,FingerTrap,1168090490,0,2,20,GBPUSD-T,50,19:00.5,3,M5,0.19,FALSE
-7.41,0,0,TRUE,24/01/2024,0,600,5,M1,19,8,FingerTrap,1168090504,0,2.5,20,AUDUSD-T,50,20:00.4,3,M5,0.19,FALSE
-7.41,0,0,TRUE,24/01/2024,0,600,5,M1,11.4,8,FingerTrap,1168090505,0,1.5,20,AUDUSD-T,50,20:00.5,3,M5,0.19,FALSE
-7.41,0,0,TRUE,24/01/2024,0,600,5,M1,15.2,8,FingerTrap,1168090507,0,2,20,AUDUSD-T,50,20:00.6,3,M5,0.19,FALSE
