actual_profit,ask,bid,closed,date,deal,ecc,entry_ema,etf,expected_profit,fast_ema,name,order,price,slow_ema,symbol,tcc,time,trend,ttf,used_fractal,volume,win
0,248362.13,248309.13,False,2024-01-24,1940605210,600,5,M5,22.68,8,FingerFractal,5041787984,248362.13,20,Volatility 75 Index,50,02:00:02.959065,3,H1,True,0.009,False
0,6778.311,6778.148,False,2024-01-24,1940608157,600,5,M5,23.95,8,FingerFractal,5041791100,6778.311,20,Volatility 10 Index,50,02:15:00.478532,3,H1,True,2.63,False
0,6784.72,6784.557,False,2024-01-24,1940624423,600,5,M5,23.96,8,FingerFractal,5041808329,6784.72,20,Volatility 10 Index,50,03:30:00.816809,3,H1,True,1.88,False
0,6787.969,6787.806,False,2024-01-24,1940637290,600,5,M5,23.91,8,FingerFractal,5041822204,6787.969,20,Volatility 10 Index,50,04:20:00.554949,3,H1,True,2.34,False
0,209801.99,209779.25,False,2024-01-24,1940658701,600,5,M5,22.75,8,FingerFractal,5041848185,209801.99,20,Volatility 50 (1s) Index,50,05:40:00.485691,3,H1,True,0.015,False
0,6792.799,6792.636,False,2024-01-24,1940663983,600,5,M5,23.93,8,FingerFractal,5041854260,6792.799,20,Volatility 10 Index,50,05:55:00.176146,3,H1,True,1.54,False
0,8372.07,8370.54,False,2024-01-24,1940671927,600,5,M5,24.0,8,FingerFractal,5041863793,8372.07,20,Volatility 75 (1s) Index,50,06:20:00.256788,3,H1,True,0.792,False
0,210548.43,210525.69,False,2024-01-24,1940678423,600,5,M5,22.97,8,FingerFractal,5041871704,210548.43,20,Volatility 50 (1s) Index,50,06:40:00.367951,3,H1,True,0.015,False
0,515553.93,515524.09,False,2024-01-24,1940684133,600,5,M5,22.08,8,FingerFractal,5041878739,515524.09,20,Volatility 25 (1s) Index,50,07:00:01.738337,3,H1,True,0.011,False
0,233.6504,233.6214,False,2024-01-24,1940704933,600,5,M5,24.0,8,FingerFractal,5041902522,233.6214,20,Volatility 50 Index,50,08:00:04.666035,3,H1,True,42.62,False
0,8300.93,8299.4,False,2024-01-24,1940704938,600,5,M5,23.99,8,FingerFractal,5041902527,8300.93,20,Volatility 75 (1s) Index,50,08:00:06.165994,3,H1,True,0.313,False
0,1964.677,1964.558,False,2024-01-24,1940710297,600,5,M5,24.0,8,FingerFractal,5041908533,1964.558,20,Volatility 25 Index,50,08:15:00.672265,3,H1,True,12.75,False
0,9382.47,9382.25,False,2024-01-24,1940747946,600,5,M5,24.0,8,FingerFractal,5041950369,9382.47,20,Volatility 10 (1s) Index,50,10:00:02.810302,3,H1,True,2.39,False
0,516247.96,516218.12,False,2024-01-24,1940747948,600,5,M5,23.61,8,FingerFractal,5041950376,516218.12,20,Volatility 25 (1s) Index,50,10:00:02.996609,3,H1,True,0.014,False
0,233.6108,233.5818,False,2024-01-24,1940747949,600,5,M5,24.0,8,FingerFractal,5041950379,233.5818,20,Volatility 50 Index,50,10:00:03.137266,3,H1,True,19.32,False
